,LearningMethod,SkillDomain,F_value,p_value,df,eta_squared
0,Documentation,Cloud/DevOps,12.4,0.0007,"2, 394",0.15
1,Community,Front-End,9.8,0.001,"2, 457",0.12
2,OpenSource,AI/ML,8.7,0.003,"2, 727",0.11
3,Mentorship,Back-End,7.2,0.005,"2, 461",0.09
4,OnlineCourses,Mobile,6.5,0.008,"2, 676",0.08
5,Documentation,AI/ML,5.8,0.01,"2, 356",0.07
6,OpenSource,Cloud/DevOps,5.2,0.015,"2, 469",0.06
7,Community,Back-End,4.8,0.02,"2, 344",0.06
8,Books,Front-End,4.3,0.03,"2, 263",0.05
9,FormalEducation,Mobile,4.1,0.04,"2, 542",0.05
